"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021- 11- 03","70,600","72,900","73,000","70,500","351.05K","-3.29%"
"2021- 11- 02","73,000","71,600","73,600","70,200","0.00K","3.25%"
"2021- 11- 01","70,700","71,000","72,400","69,000","378.46K","0.57%"
"2021- 10- 29","70,300","69,200","70,700","67,900","372.58K","2.93%"
"2021- 10- 28","68,300","71,800","73,100","67,600","0.01K","-4.48%"
"2021- 10- 27","71,500","70,500","73,300","70,500","0.50K","0.85%"
"2021- 10- 26","70,900","67,000","71,300","66,500","0.35K","6.62%"
"2021- 10- 25","66,500","65,600","67,900","65,100","0.01K","1.68%"
"2021- 10- 24","65,400","65,400","65,400","65,400","","0.00%"
"2021- 10- 22","65,400","66,500","67,800","64,500","504.52K","-2.68%"
"2021- 10- 21","67,200","67,500","68,800","66,200","0.23K","-0.30%"
"2021- 10- 20","67,400","64,800","68,400","64,500","885.31K","4.82%"
"2021- 10- 19","64,300","63,500","65,200","61,700","462.58K","2.06%"
"2021- 10- 18","63,000","64,500","64,800","62,400","0.00K","0.00%"
"2021- 10- 17","63,000","63,000","63,000","63,000","","0.00%"
"2021- 10- 15","63,000","63,200","64,300","62,200","339.06K","0.64%"
"2021- 10- 14","62,600","60,000","63,700","59,200","686.14K","4.68%"
"2021- 10- 13","59,800","60,300","60,800","59,200","315.40K","0.17%"
"2021- 10- 12","59,700","63,000","64,500","59,300","0.00K","-5.69%"
"2021- 10- 11","63,300","63,300","63,300","63,300","","0.00%"
"2021- 10- 08","63,300","64,800","65,000","62,100","744.74K","-3.65%"
"2021- 10- 07","65,700","65,600","69,000","64,500","0.30K","1.55%"
"2021- 10- 06","64,700","65,300","66,000","63,500","0.14K","-0.15%"
